TIME,SEX,Cause,Value
2005,Males,Meningococcal infection,12
2006,Males,Meningococcal infection,14
2001,Females,Meningococcal infection,15
2002,Females,Meningococcal infection,15
2006,Females,Meningococcal infection,17
2007,Males,Meningococcal infection,17
2007,Females,Meningococcal infection,17
2008,Females,Meningococcal infection,17
2003,Females,Meningococcal infection,18
2004,Males,Meningococcal infection,18
2004,Females,Meningococcal infection,18
2008,Males,Meningococcal infection,18
2005,Females,Meningococcal infection,19
2002,Males,Meningococcal infection,21
2004,Females,"Drug dependence, toxicomania (F11-F16, F18-F19)",22
2002,Females,"Drug dependence, toxicomania (F11-F16, F18-F19)",25
2006,Females,"Drug dependence, toxicomania (F11-F16, F18-F19)",25
2003,Males,Meningococcal infection,26
2007,Females,"Drug dependence, toxicomania (F11-F16, F18-F19)",27
2001,Males,Meningococcal infection,30
2005,Females,"Drug dependence, toxicomania (F11-F16, F18-F19)",30
2003,Females,"Drug dependence, toxicomania (F11-F16, F18-F19)",31
2008,Females,"Drug dependence, toxicomania (F11-F16, F18-F19)",31
2001,Females,"Drug dependence, toxicomania (F11-F16, F18-F19)",36
2005,Females,"Pregnancy, childbirth and the puerperium (O00-O99)",47
2006,Males,Influenza,50
2007,Females,Congenital malformations of the nervous system,52
2002,Females,Congenital malformations of the nervous system,54
2004,Males,Influenza,56
2005,Females,Congenital malformations of the nervous system,59
2008,Females,Congenital malformations of the nervous system,59
2001,Females,"Pregnancy, childbirth and the puerperium (O00-O99)",61
2004,Females,"Pregnancy, childbirth and the puerperium (O00-O99)",61
2005,Males,Congenital malformations of the nervous system,63
2006,Females,Congenital malformations of the nervous system,64
2008,Females,"Pregnancy, childbirth and the puerperium (O00-O99)",64
2002,Males,Congenital malformations of the nervous system,65
2003,Females,"Pregnancy, childbirth and the puerperium (O00-O99)",66
2003,Females,Meningitis,67
2005,Females,Event of undetermined intent,67
2006,Females,"Pregnancy, childbirth and the puerperium (O00-O99)",68
2008,Males,Congenital malformations of the nervous system,68
2008,Females,Event of undetermined intent,68
2007,Males,Congenital malformations of the nervous system,69
2007,Females,"Pregnancy, childbirth and the puerperium (O00-O99)",70
